folio,section_code,section,locator,position_code,locus_type,raw_eva,display_eva,normalized_tokens,token_count,structural_gloss,structural_confidence,speculative_english,speculative_status,page_context,ruleset_version
f1r,T,Text-only / control,f1r.11,*P0,P,"<%><!@253;>ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal,es",[note: @253;] ydain cphesaiin ols cphey ytain shoshy cphodal [?break] es,ydain cphesaiin ols cphey ytain shoshy cphodal es,8,running paragraph text; paragraph opening; 8 normalized token groups. ydain: productive ending family; cphesaiin: productive ending family; ols: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the named substance after the second measure; leave the final quantity apart.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.12,+P0,P,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho kshoy otairin oteol okan shodain sckhey daiin,oksho kshoy otairin oteol okan shodain sckhey daiin,8,running paragraph text; continuation; 8 normalized token groups. oksho: recurrent form; oteol: recurrent form; okan: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Compare the prepared matter before the final division; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.13,+P0,P,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d,shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d,shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d,9,running paragraph text; continuation; 9 normalized token groups. ckhey: productive ending family; kodaiin: productive ending family; cphy: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Join the first account under the same sign; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.14,+P0,P,dain.oiin.chol.odaiin.chodain.chdy.ok[a:o]in.d?n.cthy.kod,dain oiin chol odaiin chodain chdy ok[a:o]in d?n cthy kod,dain oiin chol odaiin chodain chdy okain d n cthy kod,11,running paragraph text; continuation; 11 normalized token groups. dain: broad high-frequency form; oiin: recurrent form; chol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Set down the measured portion with the remaining portion; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.15,+P0,P,daiin.shckhey.{ck}eo.r.char.shey.kol.chol.chol.kor.chal,daiin shckhey {ck}eo r char shey kol chol chol kor chal,daiin shckhey ckeo r char shey kol chol chol kor chal,11,running paragraph text; continuation; 11 normalized token groups. daiin: broad high-frequency form; shckhey: productive ending family; r: broad high-frequency form. within-line repetition: chol. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the first account with the remaining portion; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.16,+P0,P,sho.chol.shodan.kshy.kchy.d.or.chodaiin.sho.koeam,sho chol shodan kshy kchy d or chodaiin sho koeam,sho chol shodan kshy kchy d or chodaiin sho koeam,10,running paragraph text; continuation; 10 normalized token groups. sho: broad high-frequency form; chol: broad high-frequency form; kshy: recurrent form. within-line repetition: sho. no English lexical value established.,Moderate for form and position; zero validated English semantics,Record the measured portion beside the earlier note; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.17,+P0,P,"ycho.tchey.chekain.sheo,pshol.dydyd.cthy.dai[{cto}:@194;]y",ycho tchey chekain sheo [?break] pshol dydyd cthy dai[{cto}:@194;]y,ycho tchey chekain sheo pshol dydyd cthy dai cto x y,11,running paragraph text; continuation; 11 normalized token groups. ycho: recurrent form; tchey: productive ending family; chekain: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the named substance after the second measure; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.18,+P0,P,"yto.shol.she.kodshey.cphealy.dar,ain.dain.ckhyds",yto shol she kodshey cphealy dar [?break] ain dain ckhyds,yto shol she kodshey cphealy dar ain dain ckhyds,9,running paragraph text; continuation; 9 normalized token groups. yto: recurrent form; shol: broad high-frequency form; she: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Set down the adjoining entry with the remaining portion; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.19,+P0,P,dchar.shcthaiin.okaiir.chey.@192;chy.@130;tol.cthols.dlo{ct}o,dchar shcthaiin okaiir chey @192;chy @130;tol cthols dlo{ct}o,dchar shcthaiin okaiir chey xchy xtol cthols dlocto,8,running paragraph text; continuation; 8 normalized token groups. dchar: recurrent form; shcthaiin: productive ending family; okaiir: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Compare the first account beside the earlier note; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.20,+P0,P,shok.chor.chey.dain.ckhey,shok chor chey dain ckhey,shok chor chey dain ckhey,5,running paragraph text; continuation; 5 normalized token groups. shok: recurrent form; chor: broad high-frequency form; chey: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Compare the first account beside the earlier note; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.21,=Pt,P,otol.daiiin<$>,otol daiiin,otol daiiin,2,running paragraph text; paragraph or sequence ending; 2 normalized token groups. otol: broad high-frequency form; daiiin: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,Label: Entry or name marker.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.22,*P0,P,"<%>cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha.ro,dar",cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro [?break] dar,cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar,10,running paragraph text; paragraph opening; 10 normalized token groups. shaiin: productive ending family; shokcheey: productive ending family; chol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Repeat the first account in the appointed order; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.23,+P0,P,ydoin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,ydoin chol dain cthal dar shear kaiin dar shey cthar,ydoin chol dain cthal dar shear kaiin dar shey cthar,10,running paragraph text; continuation; 10 normalized token groups. chol: broad high-frequency form; dain: broad high-frequency form; cthal: recurrent form. within-line repetition: dar. no English lexical value established.,Moderate for form and position; zero validated English semantics,Repeat the measured portion under the same sign; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.24,+P0,P,cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,cho ?o kaiin shoaiin okol daiin far cthol daiin ctholdar,cho o kaiin shoaiin okol daiin far cthol daiin ctholdar,10,running paragraph text; continuation; 10 normalized token groups. cho: broad high-frequency form; o: broad high-frequency form; kaiin: productive ending family. within-line repetition: daiin. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the prepared matter under the same sign; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.25,+P0,P,ycheey.okeey.oky.daiin.okchey.kokaiin.o?chol.k?dchy.dal,ycheey okeey oky daiin okchey kokaiin o?chol k?dchy dal,ycheey okeey oky daiin okchey kokaiin o chol k dchy dal,11,running paragraph text; continuation; 11 normalized token groups. ycheey: line-initial tendency; okeey: broad high-frequency form; oky: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Separate the principal sign beside the earlier note; keep the sequence unchanged.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.26,+P0,P,"dcheo.shody.koshey.cthy.ok,chey.keey.keey,dal.chtor",dcheo shody koshey cthy ok [?break] chey keey keey [?break] dal chtor,dcheo shody koshey cthy ok chey keey keey dal chtor,10,running paragraph text; continuation; 10 normalized token groups. dcheo: recurrent form; shody: productive ending family; koshey: productive ending family. within-line repetition: keey. no English lexical value established.,Moderate for form and position; zero validated English semantics,Set down the prepared matter after the second measure; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.27,+P0,P,?eo?.chol.chok.choty.chotey,?eo? chol chok choty chotey,eo chol chok choty chotey,5,running paragraph text; continuation; 5 normalized token groups. chol: broad high-frequency form; chok: recurrent form; choty: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Compare the measured portion before the final division; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.28,=Pt,P,dchaiin<$>,dchaiin,dchaiin,1,running paragraph text; paragraph or sequence ending; 1 normalized token group. dchaiin: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,Label: Entry or name marker.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f3r,H,Herbal,f3r.1,@P0,P,<%>tsheos.qopal.chol.cthol.daimg,tsheos qopal chol cthol daimg,tsheos qopal chol cthol daimg,5,running paragraph text; paragraph opening; 5 normalized token groups. qopal: productive qo- family; chol: broad high-frequency form; cthol: section-concentrated form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Strain the pale whole herb with spring water; keep it before sunrise, for a cooling preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.2,+P0,P,ycheor.chor.dam.qotcham.cham,ycheor chor dam qotcham cham,ycheor chor dam qotcham cham,5,running paragraph text; continuation; 5 normalized token groups. ycheor: recurrent form; chor: broad high-frequency form; dam: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Grind the tender outer bark with wine; keep it until the liquid clears, for external use.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.3,+P0,P,ochor.qocheor.chol.daiin.cthy,ochor qocheor chol daiin cthy,ochor qocheor chol daiin cthy,5,running paragraph text; continuation; 5 normalized token groups. ochor: recurrent form; qocheor: productive qo- family; chol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Dry the pale fresh shoots with vinegar; keep it for one measured interval, for external use.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.4,+P0,P,schey.chor.chal.chag.cham.cho,schey chor chal chag cham cho,schey chor chal chag cham cho,6,running paragraph text; continuation; 6 normalized token groups. schey: productive ending family; chor: broad high-frequency form; chal: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Dry the bitter outer bark with spring water; keep it until the liquid clears, as the first ingredient.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.5,+P0,P,qokol.chololy.s.cham.cthol,qokol chololy s cham cthol,qokol chololy s cham cthol,5,running paragraph text; continuation; 5 normalized token groups. qokol: broad high-frequency form; s: broad high-frequency form; cham: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Strain the tender whole herb with spring water; keep it in the shade, as the first ingredient.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.6,+P0,P,ychtaiin.chor.cthom.otaldam,ychtaiin chor cthom otaldam,ychtaiin chor cthom otaldam,4,running paragraph text; continuation; 4 normalized token groups. ychtaiin: productive ending family; chor: broad high-frequency form; cthom: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Strain the tender outer bark with warm oil; keep it until the liquid clears, for storage in a sealed vessel.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.7,+P0,P,otchol.qodaiin.chom.shom.damo,otchol qodaiin chom shom damo,otchol qodaiin chom shom damo,5,running paragraph text; continuation; 5 normalized token groups. otchol: line-initial tendency; qodaiin: productive qo- family; chom: line-final tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Steep the freshly cut whole herb with vinegar; keep it before sunrise, as the first ingredient.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.8,+P0,P,ysheor.chor.chol.oky.dago,ysheor chor chol oky dago,ysheor chor chol oky dago,5,running paragraph text; continuation; 5 normalized token groups. ysheor: recurrent form; chor: broad high-frequency form; chol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Cut the pale outer bark with clear water; keep it for one measured interval, for a warming preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.9,+P0,P,sho.vor.sheoldam.otchody.ol,sho vor sheoldam otchody ol,sho vor sheoldam otchody ol,5,running paragraph text; continuation; 5 normalized token groups. sho: broad high-frequency form; otchody: productive ending family; ol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Cut the mature fresh shoots with vinegar; keep it until the colour deepens, for a cooling preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.10,+P0,P,ydar.cholcthom<$>,ydar cholcthom,ydar cholcthom,2,running paragraph text; paragraph or sequence ending; 2 normalized token groups. ydar: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Label: The Seed Cluster of the red-rooted plant.,Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.11,+P0,P,<%>pcheol.shol.sols.sheol.shey,pcheol shol sols sheol shey,pcheol shol sols sheol shey,5,running paragraph text; continuation; 5 normalized token groups. pcheol: line-initial tendency; shol: broad high-frequency form; sols: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Gather the pale whole herb with clear water; keep it for one measured interval, for a warming preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.12,+P0,P,"okadaiin.qokchor.qo,schodam.octhy",okadaiin qokchor qo [?break] schodam octhy,okadaiin qokchor qo schodam octhy,5,running paragraph text; continuation; 5 normalized token groups. okadaiin: productive ending family; qokchor: section-concentrated form; qo: productive qo- family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Dry the red-veined young leaves with clear water; keep it in the shade, for storage in a sealed vessel.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.13,+P0,P,"qokeey.qot,shey.qokody.qokshey.cheody",qokeey qot [?break] shey qokody qokshey cheody,qokeey qot shey qokody qokshey cheody,6,running paragraph text; continuation; 6 normalized token groups. qokeey: broad high-frequency form; qot: section-concentrated form; shey: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Gather the aromatic flowering stem with honey; keep it before sunrise, for a cooling preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.14,+P0,P,chor.qodair.okeey.qokeey<$>,chor qodair okeey qokeey,chor qodair okeey qokeey,4,running paragraph text; paragraph or sequence ending; 4 normalized token groups. chor: broad high-frequency form; qodair: productive qo- family; okeey: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Bruise the tender root with clear water; keep it for one measured interval, for a cooling preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.15,+P0,P,<%>tsheoarom.shor.or.chor.olchsy.chom.otchom<->oporar,tsheoarom shor or chor olchsy chom otchom | oporar,tsheoarom shor or chor olchsy chom otchom oporar,8,running paragraph text; continuation; 8 normalized token groups. shor: broad high-frequency form; or: broad high-frequency form; chor: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Grind the pale fresh shoots with clear water; keep it before sunrise, for external use.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.16,+P0,P,oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin<->soleeg,oteol chol s cheol ekshy qokeom qokol daiin | soleeg,oteol chol s cheol ekshy qokeom qokol daiin soleeg,9,running paragraph text; continuation; 9 normalized token groups. oteol: recurrent form; chol: broad high-frequency form; s: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Gather the tender flowering stem with wine; keep it before sunrise, for a warming preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.17,+P0,P,soeom.okeom.yteody.qokeeodal.sam<$>,soeom okeom yteody qokeeodal sam,soeom okeom yteody qokeeodal sam,5,running paragraph text; paragraph or sequence ending; 5 normalized token groups. okeom: recurrent form; yteody: line-initial tendency; qokeeodal: productive qo- family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Bruise the aromatic fresh shoots with spring water; keep it for one measured interval, for a warming preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.18,+P0,P,"<%>pcheoldom.shodaiin.qopchor.qopol.opchol,qoty<->otolom",pcheoldom shodaiin qopchor qopol opchol [?break] qoty | otolom,pcheoldom shodaiin qopchor qopol opchol qoty otolom,7,running paragraph text; continuation; 7 normalized token groups. shodaiin: productive ending family; qopchor: productive qo- family; qopol: productive qo- family. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Strain the aromatic seed with honey; keep it before sunrise, as the first ingredient.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
f3r,H,Herbal,f3r.19,+P0,P,"otchor.ol,cheor.qoeor.dair.qoteol.qosaiin<->chor.cthy",otchor ol [?break] cheor qoeor dair qoteol qosaiin | chor cthy,otchor ol cheor qoeor dair qoteol qosaiin chor cthy,9,running paragraph text; continuation; 9 normalized token groups. otchor: line-initial tendency; ol: broad high-frequency form; cheor: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,"Steep the bitter flowering stem with clear water; keep it over a gentle heat, for a warming preparation.",Creative reconstruction; not a decipherment or translation,"A herbal folio with a single large plant. A historical annotation proposes a Cretan-dittany-like identification, but the plant identification is not secure.",pilot-0.1.0
